5718;99
8575;224
11431;399
14284;623
17133;897
19979;1221
22820;1595
25656;2019
28486;2492
31310;3014
34126;3586
36935;4208
39735;4878
42526;5598
45307;6367
48078;7185
50838;8051
53586;8967
56322;9931
59044;10943
61754;12003
64449;13112
67129;14268
69794;15472
72442;16724
75074;18023
77688;19370
80285;20763
82863;22203
85421;23689
87960;25222
90479;26801
92976;28425
95451;30095
97905;31811
100335;33571
102742;35377
105125;37226
107483;39120
109816;41058
112123;43040
114404;45065
116658;47133
118884;49243
121082;51396
123251;53591
125391;55827
127501;58105
129581;60424
131630;62784
133647;65184
135632;67623
137585;70103
139504;72621
141390;75178
143242;77774
145058;80407
146840;83078
148586;85786
150296;88531
151968;91312
153604;94128
155202;96981
156761;99868
158282;102789
159763;105745
161205;108734
162607;111756
163968;114811
165288;117898
166566;121017
167802;124167
168996;127347
170147;130558
171254;133799
172318;137068
173338;140366
174313;143692
175243;147046
176127;150427
176966;153834
177758;157267
178504;160726
179203;164210
179855;167717
180459;171249
181014;174803
181522;178381
181980;181980
182389;185601
182749;189242
183059;192904
183319;196586
183528;200286
183687;204005
183794;207742
183851;211496
183855;215267
183808;219054
183708;222856
183556;226673
183351;230504
183093;234348
182782;238206
182417;242076
181998;245957
181526;249849
180999;253752
180418;257664
179782;261585
179092;265515
178346;269452
177546;273396
176689;277347
175778;281303
174810;285265
173787;289231
172708;293200
171572;297172
170381;301147
169133;305124
167828;309101
166467;313079
165049;317056
163574;321032
162042;325006
160453;328978
158807;332947
157104;336911
155344;340872
153526;344827
151652;348776
149720;352718
147730;356653
145683;360580
143579;364498
141418;368407
139199;372305
136923;376193
134589;380069
132198;383933
129750;387784
127245;391621
124682;395443
122063;399251
119386;403043
116653;406818
113862;410576
111015;414316
108111;418038
105151;421740
102134;425422
99061;429083
95932;432723
92747;436341
89506;439936
86209;443507
82856;447054
79448;450576
75985;454073
72467;457543
68894;460986
65267;464401
61585;467788
57849;471146
54059;474474
50215;477772
46318;481038
42368;484273
38365;487475
34309;490644
30200;493779
26040;496879
21828;499944
17564;502973
13249;505966
8883;508921
4466;511839
0;514718
-4516;517558
-9082;520358
-13698;523117
-18362;525836
-23075;528512
-27836;531146
-32644;533738
-37500;536285
-42403;538788
-47352;541246
-52348;543659
-57389;546025
-62476;548345
-67607;550617
-72782;552841
-78002;555016
-83265;557143
-88571;559219
-93920;561245
-99311;563220
-104743;565144
-110216;567016
-115730;568834
-121284;570600
-126878;572311
-132511;573969
-138182;575571
-143891;577118
-149638;578609
-155422;580043
-161242;581420
-167097;582739
-172989;584001
-178914;585204
-184874;586347
-190868;587431
-196894;588455
-202953;589418
-209043;590320
-215164;591161
-221317;591939
-227498;592655
-233710;593307
-239950;593897
-246217;594422
-252513;594883
-258834;595279
-265182;595610
-271556;595875
-277954;596074
-284376;596207
-290821;596273
-297290;596271
-303780;596202
-310292;596065
-316824;595859
-323376;595585
-329947;595241
-336537;594828
-343145;594345
-349770;593792
-356411;593168
-363068;592474
-369740;591708
-376426;590870
-383125;589961
-389837;588980
-396561;587926
-403296;586800
-410042;585601
-416797;584328
-423561;582982
-430333;581562
-437113;580068
-443899;578501
-450691;576858
-457488;575141
-464289;573349
-471093;571482
-477901;569540
-484710;567522
-491520;565429
-498330;563260
-505140;561015
-511948;558694
-518754;556296
-525557;553822
-532357;551272
-539152;548645
-545941;545941
-552724;543160
-559500;540303
-566268;537368
-573027;534356
-579776;531267
-586515;528101
-593243;524857
-599959;521536
-606662;518138
-613351;514662
-620025;511109
-626684;507479
-633327;503771
-639952;499985
-646560;496122
-653148;492182
-659717;488165
-666265;484070
-672792;479898
-679297;475649
-685778;471322
-692236;466919
-698669;462438
-705076;457881
-711456;453248
-717809;448537
-724135;443750
-730430;438887
-736696;433947
-742932;428932
-749135;423840
-755307;418673
-761444;413430
-767548;408112
-773617;402719
-779649;397251
-785645;391708
-791604;386091
-797524;380399
-803405;374634
-809246;368794
-815046;362881
-820803;356895
-826519;350836
-832191;344705
-837818;338500
-843401;332224
-848938;325876
-854428;319457
-859870;312967
-865264;306406
-870609;299774
-875903;293073
-881147;286302
-886339;279461
-891479;272552
-896565;265574
-901597;258528
-906574;251415
-911496;244234
-916361;236987
-921169;229673
-925919;222293
-930609;214848
-935241;207338
-939812;199763
-944321;192124
-948769;184421
-953154;176656
-957475;168828
-961732;160939
-965924;152987
-970051;144974
-974111;136902
-978103;128769
-982028;120578
-985884;112327
-989671;104018
-993387;95652
-997032;87229
-1000606;78749
-1004108;70214
